match_day,match_date,home_team,away_team,home_team_score,away_team_score,HT_num_goals_firsthalf,HT_num_goals_secondhalf,AT_num_goals_firsthalf,AT_num_goals_secondhalf,match_link,home_posession,away_posession,home_shots,away_shots,home_shots_ontarget,away_shots_ontarget,home_fouls,away_fouls,home_corners,away_corners,home_saves,away_saves,home_offsides,away_offsides,home_yellow,away_yellow,home_red,away_red
Sun,Mar 10,Girona,Valencia,2,3,1,1,1,2,https://www.msn.com/en-us/sports/soccer/la-liga/girona-v-valencia-cf/game-center/sp-id-80402000001009581,60,40,17,11,7,6,13,10,6,1,3,5,,,1,2,0,1
Sun,Mar 10,Celta,Betis,0,1,0,0,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/celta-de-vigo-v-real-betis/game-center/sp-id-80402000001009583,38,62,7,14,1,4,17,16,4,4,3,1,6,1,3,0,0,0
Sat,Mar 9,Getafe,Huesca,2,1,0,2,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/getafe-v-huesca/game-center/sp-id-80402000001009580,57,43,13,7,5,1,14,17,13,1,,,4,3,0,4,0,0
Sat,Mar 9,Barça,Rayo,3,1,1,2,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/barcelona-v-rayo-vallecano/game-center/sp-id-80402000001009579,69,31,12,8,6,1,12,17,10,4,,,5,2,1,2,0,0
Sat,Mar 9,Atlético,Leganés,1,0,0,1,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/atl%c3%a9tico-de-madrid-v-legan%c3%a9s/game-center/sp-id-80402000001009578,45,55,13,3,4,2,9,7,4,4,2,3,,,2,2,0,0
Sat,Mar 9,Alavés,Eibar,1,1,0,1,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/alav%c3%a9s-v-eibar/game-center/sp-id-80402000001009576,44,56,16,20,3,3,10,18,3,5,2,2,,,1,1,0,0
Fri,Mar 8,Athletic,Espanyol,1,1,0,1,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/athletic-club-v-espanyol/game-center/sp-id-80402000001009577,65,35,15,5,6,2,13,20,,,1,5,3,2,3,5,0,0
Mon,Mar 4,Leganés,Levante,1,0,1,0,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/legan%c3%a9s-v-levante/game-center/sp-id-80402000001009569,39,61,14,15,3,4,15,10,2,2,4,2,,,6,4,0,0
Sun,Mar 3,Valencia,Athletic,2,0,0,2,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/valencia-cf-v-athletic-club/game-center/sp-id-80402000001009572,50,50,11,4,3,1,12,13,6,2,1,1,,,0,3,0,0
Sun,Mar 3,Real Sociedad,Atlético,0,2,0,0,2,0,https://www.msn.com/en-us/sports/soccer/la-liga/real-sociedad-v-atl%c3%a9tico-de-madrid/game-center/sp-id-80402000001009573,61,39,19,8,3,3,12,17,7,3,1,3,,,1,2,0,1
Sun,Mar 3,Betis,Getafe,1,2,0,1,2,0,https://www.msn.com/en-us/sports/soccer/la-liga/real-betis-v-getafe/game-center/sp-id-80402000001009566,65,35,6,11,2,5,14,14,4,4,3,1,4,2,2,2,0,0
